mesto,datum,PovpreÄna temperatura (v Â°C)
Ljubljana,2024-09-03,22.3
Ljubljana,2024-09-04,22.3
Ljubljana,2024-09-05,20.6
Ljubljana,2024-09-06,19.5
Ljubljana,2024-09-07,20.3
Ljubljana,2024-09-08,21.6
Ljubljana,2024-09-09,18.8
Ljubljana,2024-09-10,17.5
Ljubljana,2024-09-11,17.6
Ljubljana,2024-09-12,13.5
Ljubljana,2024-09-13,9.7
Ljubljana,2024-09-14,11.1
Ljubljana,2024-09-15,12.8
Ljubljana,2024-09-16,12.1
Ljubljana,2024-09-17,11.9
Ljubljana,2024-09-18,13.4
Ljubljana,2024-09-19,15.8
Ljubljana,2024-09-20,15.5
Ljubljana,2024-09-21,16.0
Ljubljana,2024-09-22,15.1
Ljubljana,2024-09-23,15.4
Ljubljana,2024-09-24,16.1
Ljubljana,2024-09-25,15.8
Ljubljana,2024-09-26,17.9
Ljubljana,2024-09-27,19.7
Ljubljana,2024-09-28,14.6
Ljubljana,2024-09-29,11.6
Ljubljana,2024-09-30,10.2
Ljubljana,2024-10-01,11.6
Ljubljana,2024-10-02,13.8
Ljubljana,2024-10-03,11.2
Ljubljana,2024-10-04,9.0
Ljubljana,2024-10-05,10.5
Ljubljana,2024-10-06,10.6
Ljubljana,2024-10-07,11.9
Ljubljana,2024-10-08,16.2
Ljubljana,2024-10-09,17.2
Ljubljana,2024-10-10,16.9
Ljubljana,2024-10-11,13.5
Ljubljana,2024-10-12,11.1
Ljubljana,2024-10-13,12.7
Ljubljana,2024-10-14,11.6
Ljubljana,2024-10-15,13.9
Ljubljana,2024-10-16,13.0
Ljubljana,2024-10-17,12.2
Ljubljana,2024-10-18,12.5
Ljubljana,2024-10-19,12.7
Ljubljana,2024-10-20,11.7
Ljubljana,2024-10-21,10.8
Ljubljana,2024-10-22,12.8
Ljubljana,2024-10-23,12.9
Ljubljana,2024-10-24,13.0
Ljubljana,2024-10-25,13.2
Ljubljana,2024-10-26,14.4
Ljubljana,2024-10-27,14.7
Ljubljana,2024-10-28,13.1
Ljubljana,2024-10-29,13.3
Ljubljana,2024-10-30,11.9
Ljubljana,2024-10-31,11.6
Ljubljana,2024-11-01,10.4
Ljubljana,2024-11-02,9.0
Ljubljana,2024-11-03,8.9
Ljubljana,2024-11-04,5.5
Ljubljana,2024-11-05,6.3
Ljubljana,2024-11-06,5.3
Ljubljana,2024-11-07,4.9
Ljubljana,2024-11-08,4.5
Ljubljana,2024-11-09,4.0
Ljubljana,2024-11-10,3.2
Ljubljana,2024-11-11,2.9
Ljubljana,2024-11-12,1.8
Ljubljana,2024-11-13,2.3
Ljubljana,2024-11-14,2.2
Ljubljana,2024-11-15,-0.0
Ljubljana,2024-11-16,1.4
Ljubljana,2024-11-17,2.1
Ljubljana,2024-11-18,2.4
Ljubljana,2024-11-19,4.5
Ljubljana,2024-11-20,6.4
Ljubljana,2024-11-21,2.1
Ljubljana,2024-11-22,0.1
Ljubljana,2024-11-23,-0.6
Ljubljana,2024-11-24,1.7
Ljubljana,2024-11-25,4.4
Ljubljana,2024-11-26,8.1
Ljubljana,2024-11-27,7.1
Ljubljana,2024-11-28,8.2
Ljubljana,2024-11-29,4.8
Ljubljana,2024-11-30,3.1
Ljubljana,2024-12-01,2.1
Ljubljana,2024-12-02,1.1
Ljubljana,2024-12-03,0.5
Ljubljana,2024-12-04,2.3
Ljubljana,2024-12-05,1.8
Ljubljana,2024-12-06,-0.5
Ljubljana,2024-12-07,-0.6
Ljubljana,2024-12-08,0.9
Ljubljana,2024-12-09,1.7
Ljubljana,2024-12-10,2.4
Ljubljana,2024-12-11,2.5
Ljubljana,2024-12-12,1.5
Ljubljana,2024-12-13,-0.4
Ljubljana,2024-12-14,0.3
Ljubljana,2024-12-15,-0.2
Ljubljana,2024-12-16,1.0
Ljubljana,2024-12-17,1.3
Ljubljana,2024-12-18,2.0
Ljubljana,2024-12-19,3.0
Ljubljana,2024-12-20,2.9
Ljubljana,2024-12-21,-0.6
Ljubljana,2024-12-22,-0.3
Ljubljana,2024-12-23,0.6
Ljubljana,2024-12-24,-0.2
Ljubljana,2024-12-25,-0.7
Ljubljana,2024-12-26,-1.9
Ljubljana,2024-12-27,-2.1
Ljubljana,2024-12-28,-0.9
Ljubljana,2024-12-29,0.4
Ljubljana,2024-12-30,-0.3
Ljubljana,2024-12-31,-0.9
Ljubljana,2025-01-01,1.5
Ljubljana,2025-01-02,2.9
Ljubljana,2025-01-03,1.8
Ljubljana,2025-01-04,-1.7
Ljubljana,2025-01-05,0.7
Ljubljana,2025-01-06,4.7
Ljubljana,2025-01-07,6.0
Ljubljana,2025-01-08,5.5
Ljubljana,2025-01-09,7.1
Ljubljana,2025-01-10,2.2
Ljubljana,2025-01-11,-1.4
Ljubljana,2025-01-12,-2.5
Ljubljana,2025-01-13,-1.6
Ljubljana,2025-01-14,-1.4
Ljubljana,2025-01-15,-2.0
Ljubljana,2025-01-16,0.4
Ljubljana,2025-01-17,-0.2
Ljubljana,2025-01-18,-2.3
Ljubljana,2025-01-19,-2.2
Ljubljana,2025-01-20,-0.9
Ljubljana,2025-01-21,0.2
Ljubljana,2025-01-22,2.2
Ljubljana,2025-01-23,3.1
Ljubljana,2025-01-24,3.9
Ljubljana,2025-01-25,5.9
Ljubljana,2025-01-26,8.4
Ljubljana,2025-01-27,8.8
Ljubljana,2025-01-28,8.8
Ljubljana,2025-01-29,6.3
Ljubljana,2025-01-30,3.2
Ljubljana,2025-01-31,3.5
Ljubljana,2025-02-01,3.6
Ljubljana,2025-02-02,1.6
Ljubljana,2025-02-03,2.1
Ljubljana,2025-02-04,-0.1
Ljubljana,2025-02-05,-0.2
Ljubljana,2025-02-06,0.7
Ljubljana,2025-02-07,1.5
Ljubljana,2025-02-08,1.1
Ljubljana,2025-02-09,3.3
Ljubljana,2025-02-10,4.4
Ljubljana,2025-02-11,3.4
Ljubljana,2025-02-12,3.1
Ljubljana,2025-02-13,5.7
Ljubljana,2025-02-14,2.2
Ljubljana,2025-02-15,-0.6
Ljubljana,2025-02-16,-1.6
Ljubljana,2025-02-17,-1.5
Ljubljana,2025-02-18,-2.0
Ljubljana,2025-02-19,-2.3
Ljubljana,2025-02-20,-1.9
Ljubljana,2025-02-21,0.1
Ljubljana,2025-02-22,2.1
Ljubljana,2025-02-23,5.3
Ljubljana,2025-02-24,5.1
Ljubljana,2025-02-25,7.0
Ljubljana,2025-02-26,6.8
Ljubljana,2025-02-27,5.5
Ljubljana,2025-02-28,4.7
Ljubljana,2025-03-01,4.4
Ljubljana,2025-03-02,3.4
Ljubljana,2025-03-03,2.6
Ljubljana,2025-03-04,3.6
Ljubljana,2025-03-05,5.0
Ljubljana,2025-03-06,5.3
Ljubljana,2025-03-07,4.7
Ljubljana,2025-03-08,5.2
Ljubljana,2025-03-09,6.8
Ljubljana,2025-03-10,8.5
Ljubljana,2025-03-11,8.1
Ljubljana,2025-03-12,9.6
Ljubljana,2025-03-13,8.9
Ljubljana,2025-03-14,7.4
Ljubljana,2025-03-15,7.0
Ljubljana,2025-03-16,6.3
Ljubljana,2025-03-17,4.8
Ljubljana,2025-03-18,1.6
Ljubljana,2025-03-19,1.8
Ljubljana,2025-03-20,3.7
Ljubljana,2025-03-21,6.2
Ljubljana,2025-03-22,9.6
Ljubljana,2025-03-23,10.6
Ljubljana,2025-03-24,11.4
Ljubljana,2025-03-25,9.1
Ljubljana,2025-03-26,8.8
Ljubljana,2025-03-27,10.3
Ljubljana,2025-03-28,9.0
Ljubljana,2025-03-29,8.3
Ljubljana,2025-03-30,9.5
Ljubljana,2025-03-31,7.8
Ljubljana,2025-04-01,7.2
Ljubljana,2025-04-02,10.7
Ljubljana,2025-04-03,11.3
Ljubljana,2025-04-04,10.5
Ljubljana,2025-04-05,11.3
Ljubljana,2025-04-06,6.9
Ljubljana,2025-04-07,3.2
Ljubljana,2025-04-08,5.7
Ljubljana,2025-04-09,7.1
Ljubljana,2025-04-10,8.7
Ljubljana,2025-04-11,10.2
Ljubljana,2025-04-12,11.7
Ljubljana,2025-04-13,11.2
Ljubljana,2025-04-14,12.8
Ljubljana,2025-04-15,13.2
Ljubljana,2025-04-16,15.4
Ljubljana,2025-04-17,13.6
Ljubljana,2025-04-18,11.4
Ljubljana,2025-04-19,12.1
Ljubljana,2025-04-20,13.5
Ljubljana,2025-04-21,15.0
Ljubljana,2025-04-22,14.8
Ljubljana,2025-04-23,14.8
Ljubljana,2025-04-24,12.9
Ljubljana,2025-04-25,11.1
Ljubljana,2025-04-26,11.4
Ljubljana,2025-04-27,13.5
Ljubljana,2025-04-28,13.3
Ljubljana,2025-04-29,14.5
Ljubljana,2025-04-30,15.2
Ljubljana,2025-05-01,16.1
Ljubljana,2025-05-02,17.3
Ljubljana,2025-05-03,17.9
Ljubljana,2025-05-04,17.2
Ljubljana,2025-05-05,12.7
Ljubljana,2025-05-06,11.1
Ljubljana,2025-05-07,12.3
Ljubljana,2025-05-08,10.9
Ljubljana,2025-05-09,11.6
Ljubljana,2025-05-10,13.0
Ljubljana,2025-05-11,13.3
Ljubljana,2025-05-12,13.7
Ljubljana,2025-05-13,13.6
Ljubljana,2025-05-14,14.0
Ljubljana,2025-05-15,14.1
Ljubljana,2025-05-16,10.8
Ljubljana,2025-05-17,11.1
Ljubljana,2025-05-18,12.9
Ljubljana,2025-05-19,15.5
Ljubljana,2025-05-20,15.6
Ljubljana,2025-05-21,16.4
Ljubljana,2025-05-22,15.8
Ljubljana,2025-05-23,10.6
Ljubljana,2025-05-24,11.1
Ljubljana,2025-05-25,12.7
Ljubljana,2025-05-26,15.3
Ljubljana,2025-05-27,15.3
Ljubljana,2025-05-28,17.1
Ljubljana,2025-05-29,17.4
Ljubljana,2025-05-30,19.1
Ljubljana,2025-05-31,21.1
Ljubljana,2025-06-01,22.2
Ljubljana,2025-06-02,22.3
Ljubljana,2025-06-03,22.3
Ljubljana,2025-06-04,22.3
Ljubljana,2025-06-05,22.4
Ljubljana,2025-06-06,22.2
Ljubljana,2025-06-07,23.1
Ljubljana,2025-06-08,22.4
Ljubljana,2025-06-09,17.2
Ljubljana,2025-06-10,19.0
Ljubljana,2025-06-11,22.0
Ljubljana,2025-06-12,22.5
Ljubljana,2025-06-13,23.0
Ljubljana,2025-06-14,23.8
Ljubljana,2025-06-15,25.3
Ljubljana,2025-06-16,21.2
Ljubljana,2025-06-17,20.6
Ljubljana,2025-06-18,22.1
Ljubljana,2025-06-19,24.7
Ljubljana,2025-06-20,23.3
Ljubljana,2025-06-21,22.8
Ljubljana,2025-06-22,23.5
Ljubljana,2025-06-23,24.9
Ljubljana,2025-06-24,25.9
Ljubljana,2025-06-25,27.0
Ljubljana,2025-06-26,27.8
Ljubljana,2025-06-27,24.2
Ljubljana,2025-06-28,24.9
Ljubljana,2025-06-29,26.4
Ljubljana,2025-06-30,27.5
Ljubljana,2025-07-01,25.6
Ljubljana,2025-07-02,25.3
Ljubljana,2025-07-03,26.8
Ljubljana,2025-07-04,24.5
Ljubljana,2025-07-05,23.0
Ljubljana,2025-07-06,23.3
Ljubljana,2025-07-07,19.6
Ljubljana,2025-07-08,17.0
Ljubljana,2025-07-09,17.8
Ljubljana,2025-07-10,17.4
Ljubljana,2025-07-11,16.9
Ljubljana,2025-07-12,17.7
Ljubljana,2025-07-13,20.2
Ljubljana,2025-07-14,22.6
Ljubljana,2025-07-15,23.1
Ljubljana,2025-07-16,21.3
Ljubljana,2025-07-17,19.9
Ljubljana,2025-07-18,20.8
Ljubljana,2025-07-19,22.9
Ljubljana,2025-07-20,25.5
Ljubljana,2025-07-21,24.0
Ljubljana,2025-07-22,22.1
Ljubljana,2025-07-23,23.6
Ljubljana,2025-07-24,23.8
Ljubljana,2025-07-25,21.8
Ljubljana,2025-07-26,19.9
Ljubljana,2025-07-27,19.2
Ljubljana,2025-07-28,17.3
Ljubljana,2025-07-29,16.8
Ljubljana,2025-07-30,17.4
Ljubljana,2025-07-31,19.0
Ljubljana,2025-08-01,19.0
Ljubljana,2025-08-02,17.0
Ljubljana,2025-08-03,17.0
Ljubljana,2025-08-04,17.6
Ljubljana,2025-08-05,19.1
Ljubljana,2025-08-06,19.0
Ljubljana,2025-08-07,18.6
Ljubljana,2025-08-08,21.1
Ljubljana,2025-08-09,23.5
Ljubljana,2025-08-10,24.9
Ljubljana,2025-08-11,24.1
Ljubljana,2025-08-12,23.1
Ljubljana,2025-08-13,24.0
Ljubljana,2025-08-14,24.6
Ljubljana,2025-08-15,25.0
Ljubljana,2025-08-16,24.6
Ljubljana,2025-08-17,22.0
Ljubljana,2025-08-18,20.9
Ljubljana,2025-08-19,21.1
Ljubljana,2025-08-20,20.6
Ljubljana,2025-08-21,19.5
Ljubljana,2025-08-22,19.0
Ljubljana,2025-08-23,17.9
Ljubljana,2025-08-24,16.3
Ljubljana,2025-08-25,16.9
Ljubljana,2025-08-26,18.9
Ljubljana,2025-08-27,21.6
Ljubljana,2025-08-28,23.4
Ljubljana,2025-08-29,20.1
Ljubljana,2025-08-30,17.5
Ljubljana,2025-08-31,18.7
Ljubljana,2025-09-01,19.1
Ljubljana,2025-09-02,
